id,name,kicker,brandsDetected,shareOfBrands,leader,definition
S22,Earned Organic Mentions,"Earned organic — a strength, not a gap",8,8.2,Jocko Fuel,"Product, packaging, and experience are so distinctive that creators tag, mention, and post without compensation."
S02,UGC for Brand Feed,Native brand-feed supply,8,8.2,Premier Protein,"Pay UGC creators to deliver vertical video the brand publishes on its OWN feed — not as paid ads, not on the creator's channel."
S03,Always-On Creator Retainers,Always-on Creator Engine,6,6.2,Alani Nu,"Pay a roster of creators a monthly fee to post about the brand on their own audience, every month, for 6-12+ months."
S17,Press & Brand Trips,Press / brand-trip activation,6,6.2,Alani Nu,"Host a tight cluster of creators at a venue or destination — typically 8-30 creators inside a 3-7 day window, with content seeded across their channels."
S10,Long-Term Brand Ambassador,Hero / category-leader play,4,4.1,Quest Nutrition,"Contract 1-3 high-trust creators as multi-year ambassadors with annual fees, events, and product input."
S01,UGC for Paid Ads,Performance creative engine,3,3.1,Chike,"License creator-shot vertical video and run it as paid ads on Meta and TikTok — high creative velocity, low CPA."
S09,Affiliate / Commission Programmes,Pay-on-sale revenue layer,3,3.1,Protein Works,"Open a permanent commission-only programme — any creator can apply, brand pays only on attributed sale."
S05,Creator Collective / Volume Model,Volume creator model (Cluely-style),2,2.1,TRIP,20-100+ small creators each posting multiple short-form videos a day about the brand on their own channels.
S04,Alt-Handle / Brand-Affiliated Creator Channel,Brand-affiliated alt-handle,2,2.1,Naked Nutrition,"A single creator whose tagged-post output is dominated by one niche brand — store staff, a paid resident creator, or a quasi-brand-controlled affiliate handle."
S07,High-Value Gifting & Seeding,Top-of-funnel discovery,1,1.0,,Send premium-packaged product to 20-200+ micro creators with a soft ask to post if they enjoy it.
S13,Creator-Led Drops & Collabs,Press-event launch motion,1,1.0,,Co-create a limited-edition SKU or collab with a creator and market the drop as a timed media event.
S18,Geo-Clustered Micro-Creators,Hyper-local activation,1,1.0,,"Activate 20-50 micro creators per metro / per venue, with captions that name the city, the neighbourhood, the store."
S23,Burner & Volume Posting Networks,Volume burner-account network,1,1.0,,"Coordinate many small-follower accounts to tag the brand with near-identical caption templates — bulk, low-cost surface area."
S08,TikTok-Shop Affiliate Programme,TikTok-Shop affiliate funnel,1,1.0,,"Open the brand on TikTok Shop and let affiliate creators run shoppable content — captions that read 'tap to shop', 'linked below', 'use my code'."
S19,Influencer-Hosted IRL Events,Hosted IRL event activation,1,1.0,,"A single moment — launch party, opening night, preview — with 6+ creators tagging the brand inside a 3-day window and explicitly naming the event."
S21,Live Shopping with Creator Hosts,Real-time selling motion,1,1.0,,Real-time selling on TikTok Live or IG Live — creators host scheduled live drops and drive conversion in-app.
